#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;;;;;;;;;;;;;;;;
dragon_egg;Owner of a Dragon Egg;Propriétaire d'un Œuf de Dragon;;;Propietario de un huevo de dragón;;;;;;;;;x;;;;;;;;;;;;;;;;
dragon_egg_desc;Dragons lay large; scaled eggs to reproduce. Over the eons un-hatched eggs can become fossilized. Dragons have no fixed gender differentiation - according to Maester Aemon dragons are 'but now one and now the other; as changeable as flame'; presumably meaning that they are able to change from one sex to the other and back for whatever reason. This means the mating habits of dragons are not fully understood.\n\nUpon the death of an owner of a dragon egg; the order of precendence for inheritance is:\n1- The current heir; if the same dynasty\n2- A child of of the same dynasty\n3- A sibling of the same dynasty\n4- Any member of the same dynasty\n5- The current heir\n6- Any child\n7- Spouse\n8- Liege\n9 -Any vassal;Les dragons naissent dans de grands oeufs. Au bout d'un certain temps; les oeufs qui n'ont pas éclos peuvent se fossiliser. Les dragons n'ont pas un genre prédéterminé; selon mestre Aemon les dragons peuvent être d'un genre puis d'un autre; changeant telles les flammes. Cela veut sûrement dire qu'ils sont capables de changer de sexe mais la reproduction des dragons reste un mystère.\n\nA la mort du propriétaire; l'ordre de succession pour hériter de l'oeuf de dragon est le suivant:\n1- L'actuel héritier; si il est de la même dynastie\n2- Un enfant de la même dynastie\n3- Un frère ou une soeur de la même dynastie\n4- N'importe quel membre de la même dynastie\n5- L'actuel héritier\n6- N'importe quel enfant\n7- L'épouse(x)\n8- Le suzerain\n9 -N'importe quel vassal;;;Los dragones nacen de grandes huevos. Tras un largo tiepo; los huevos que no han eclosionado pueden fosilizarse. Los dragones no tienen un género predeterminado y pueden cambiar de sexo; según el Maestre Aemon. De todos modos; la reproducción de los dragones sigue siendo un misterio.;;;;;;;;;x;;;
EVTOPTBdragon.1198;Don't bother me with such news again;Ne m'importunez plus avec de telles nouvelles la prochaine fois !;;;No me importunes más con este tipo de noticias!;;;;;;;;;x;;;;;;;;;;;;;;;;
fed_to_dragon;Fed to a Dragon;Donné à manger à un Dragon;;;Alimentar al dragón;;;;;;;;;x;;;;;;;;;;;;;;;;
fed_to_dragon_desc;This character was executed by being fed to a Dragon;Ce personnage a été condamné à être mangé par un Dragon.;;;Este personaje fue condenado a ser comido por un dragón.;;;;;;;;;x;;;;;;;;;;;;;;;;
EVTDESCdragon.71;You have decreed that [FromFrom.GetFirstNameWithDynasty] shall be executed for [FromFrom.GetHerHis] crimes and that [FromFrom.GetSheHe] will make a meal for your Dragon. [dragon_feed.GetFirstName] duly roasts the victim with dragon flame on your command; and then devours [FromFrom.GetHerHis] charred corpse.;Vous avez décrété que [From.GetFirstNameWithDynasty] devrait être exécuté pour expier ses crimes. Peut-être ferait-[From.GetSheHe] un bon repas pour mon Dragon? ;;;Has decretado que [From.GetFirstNameWithDynasty] sea ejecutado para expiar sus crímenes. Tal vez podría ser una buena comida para mi dragón?;;;;;;;;;x;;;;;;;;;;;;;;;
EVTOPTAdragon.71;Yes; let my dragon devour [FromFrom.GetHerHim]!;Oui; laissez mon dragon le(a) dévorer !;;;Sí; deja que mi dragón lo devore!;;;;;;;;;x;;;;;;;;;;;;;
EVTOPTB999900081;No; that is a cruel way to die;Non; c'est une cruelle façon de mourir.;;;No; es una manera cruel de morir.;;;;;;;;;x;;;;;;;;;;;;;
EVTDESCdragon.72;[Root.PrimaryTitle.GetFOA]; the cruel [From.GetTitledFirstName] has put your [FromFrom.GetRootRelation] [FromFrom.GetFirstName] to death by feeding [FromFrom.GetHerHim] to [From.GetHerHis] dragon!;[Root.PrimaryTitle.GetFOA]; le(a) cruel(le) [From.GetTitledFirstName] a mis a mort votre [FromFrom.GetRootRelation] [FromFrom.GetFirstName] en le(a) donnant à manger à son dragon ! ;;;[Root.PrimaryTitle.GetFOA]; el cruel [From.GetTitledFirstName] ha dado a tu [FromFrom.GetRootRelation] [FromFrom.GetFirstName] como comida a su dragón!;;;;;;;;;x;;;;;;;;;;;;;
show_me_the_dragons;Show me the Dragons;Montre moi les Dragons;;;Mostradme los Dragones;;;;;;;;;x;;;;;;;;;;;;;;;;
show_me_the_dragons_desc;Ask your Maester to compile a list of all known owners of Dragons and Dragon eggs;Demander à votre mestre de compiler une liste de tous les détenteurs de Dragons et d'Œufs de Dragon.;;;Solicitar a tu Maestre una lista de todos los dueños de dragones y huevos de dragón.;;;;;;;;;x;;;;;;;;;;;;;;;;
EVTDESCdragon.73;[Root.PrimaryTitle.GetFOA]; here lists all owners of Dragons and Dragon eggs in the known world...;[Root.PrimaryTitle.GetFOA]; voici la liste de tous les détenteurs de Dragons et d'Œufs de Dragons dans le monde connu…;;;[Root.PrimaryTitle.GetFOA]; aquí está la lista de todos los dueños de dragones y huevos de dragón del mundo conocido...;;;;;;;;;x;;;;;;;;;;;;;
EVTOPTAdragon.73;Dragon Riders;Chevaucheurs de Dragons;;;Jinetes de Dragón;;;;;;;;;x;;;;;;;;;;;;;;;;
EVTOPTBdragon.73;Untamed Dragons;Dragons non apprivoisés;;;Dragones Indomados;;;;;;;;;x;;;;;;;;;;;;;;;;
EVTOPTCdragon.73;Wild Dragons;Dragons sauvages;;;Dragones Salvajes;;;;;;;;;x;;;;;;;;;;;;;;;;
EVTOPTDdragon.73;Dragon Eggs;Œufs de Dragons;;;Huevos de Dragón;;;;;;;;;x;;;;;;;;;;;;;;;;
TOOLTIPGETNAME;[This.GetTitledFirstNameWithDynasty]; master of [Prev.GetFirstName]; located in [Prev.Location.GetName];[This.GetTitledFirstNameWithDynasty]; maître de [Prev.GetFirstName]; résidant à [Prev.Location.GetName];;;[This.GetTitledFirstNameWithDynasty]; dueño de [Prev.GetFirstName]; en [Prev.Location.GetName];;;;;;;;;x;;;;;;;;;;
TOOLTIPGETDRAGONRIDERS;The known wielders of a fully tamed dragon are:\n;Les possesseurs connus de dragons totalement apprivoisés sont :\n;;;Los dueños conocidos de dragones domados son: :\n;;;;;;;;;x;;;;;;;;;;;;;;;;
TOOLTIPGETUNTAMEDDRAGONS;The known owners of an untamed dragon are:\n;Les possesseurs connus de dragons non apprivoisés sont :\n;;;Los dueños conocidos de dragones indomados son: :\n;;;;;;;;;x;;;;;;;;;;;;;;;;
TOOLTIPGETWILDDRAGONS;The known wild dragons are:\n;Les possesseurs connus de dragons sauvages sont :\n;;;Los dueños conocidos de dragones salvajes son: :\n;;;;;;;;;x;;;;;;;;;;;;;;;;
TOOLTIPGETWILDDRAGON;[This.GetFirstName]; located in [This.Location.GetName]\n;[This.GetFirstName]; résidant à [This.Location.GetName]\n;;;[This.GetFirstName]; de [This.Location.GetName]\n;;;;;;;;;x;;;;;;;;;;;;;
TOOLTIPGETDRAGONEGGS;The known owners of a dragon egg are:\n;Les possesseurs connus d'œufs de dragons sont :\n;;;Los dueños conocidos de huevos de dragón son :\n;;;;;;;;;x;;;;;;;;;;;;;;;;
TOOLTIPGETNAMEEGG;[This.GetTitledFirstNameWithDynasty]; located in [This.Location.GetName]\n;[This.GetTitledFirstNameWithDynasty]; résidant à [This.Location.GetName]\n;;;[This.GetTitledFirstNameWithDynasty]; de [This.Location.GetName]\n;;;;;;;;;x;;;;;;;;;;;;;
plot_kill_dragon_short;Kill the dragon;Tuer le Dragon;;;Matar al dragón;;;;;;;;;x;;;;;;;;;;;;;;;;
plot_kill_dragon_title;Kill the dragon of [This.GetTitledFirstNameWithDynastyAndTitleNoRegnal];Tuer le Dragon de [This.GetTitledFirstNameWithDynastyAndTitleNoRegnal];;;Matar al dragón de [This.GetTitledFirstNameWithDynastyAndTitleNoRegnal];;;;;;;;;x;;;;;;;;;;;;;;;;
plot_kill_dragon_desc;[From.GetTitledFirstNameWithDynastyAndTitleNoRegnal] wants to see the dragon of [This.GetTitledFirstNameWithDynastyAndTitleNoRegnal] dead; believing the beast to be a danger or a hindrance.;[From.GetTitledFirstNameWithDynastyAndTitleNoRegnal] pense que le dragon de [This.GetTitledFirstNameWithDynastyAndTitleNoRegnal] est un obstacle ou un danger; il veut le voir mort. ;;;[From.GetTitledFirstNameWithDynastyAndTitleNoRegnal] cree que el dragón de [This.GetTitledFirstNameWithDynastyAndTitleNoRegnal] es un peligro y un obstáculo; lo quiere muerto.;;;;;;;;;x;;;;;;;;;;;;;
EVTNAMEdragon.43;The Dance of Dragons;La Danse des Dragons;;;La Danza de los Dragones;;;;;;;;;x;;;;;;;;;;;;;;;;
EVTDESCdragon.43;Flying high above the fighting armies; dragons fly in circles around each other and prepare to clash.;Survolant le champ de bataille; les dragons se tournent autour; prêts à se battre.;;;Sobrevolando el campo de batalla; los dragones vuelan en círculos entre ellos ; preparados para la batalla.;;;;;;;;;x;;;;;;;;;;;
TOOLTIPdragon.43ENEMY;You meet [Prev.GetTitledFirstName]; rider of [This.GetFirstName]; in dragon combat\n;Vous affrontez [Prev.GetTitledFirstName]; chevaucheur de [This.GetFirstName] dans un duel de dragons\n;;;Te enfrentas a [Prev.GetTitledFirstName]; jinete de [This.GetFirstName] en un duelo de dragones\n;;;;;;;;;x;;;;;;;;;;;;
TOOLTIPdragon.43ALLY;[Prev.GetTitledFirstName]; rider of [This.GetFirstName]; will support you\n;[Prev.GetTitledFirstName]; chevaucheur de [This.GetFirstName]; va vous aider\n;;;[Prev.GetTitledFirstName]; jinete de [This.GetFirstName]; te respalda\n;;;;;;;;;x;;;;;;;;;;
EVTOPTAdragon.43;There can only be one.;Il ne peut n'y en avoir qu'un.;;;Solo puede quedar uno.;;;;;;;;;x;;;;;;;;;;;;;;;;
EVTOPTBdragon.43;Not yet... I will wait for the right moment to strike.;Pas encore… je vais attendre le bon moment pour frapper.;;;Todavía no...esperaré el momento adecuado para atacar.;;;;;;;;;x;;;;;;;;;;;;;;;;
EVTDESCdragon.4498;Flying high above the fighting armies; dragons fly in circles around each other and prepare to clash. [From.GetTitledFirstName] takes the lead and begins the dive at the enemy...;Les dragons volent en cercle au dessus des armées qui s'affrontent; prêts à en découdre avec leurs congénères. [From.GetTitledFirstName] décide de prendre l'initiative en plongeant sur l'ennemi…;;;Sobrevolando el campo de batalla; los dragones vuelan en círculos entre ellos ; preparados para la batalla. [From.GetTitledFirstName] toma la iniciativa y cae sobre el enemigo...;;;;;;;;;x;;;;;;;;;;;;
EVTOPTAdragon.4498;Prepare to die;Préparez-vous à mourir !;;;Prepárate a morir!;;;;;;;;;x;;;;;;;;;;;;;;;;
EVTDESCdragon.44;Flying high above the fighting armies; the dragonrider [From.GetTitledFirstName] leads a dive attack on you and your allies.;Après avoir survolé le champ de bataille; un autre chevaucheur de dragon vous charge.;;;Sobrevolando el campo de batalla; el jinete de dragón [From.GetTitledFirstName] lanza un ataque a ti y tus aliados.;;;;;;;;;x;;;;;;;;;;;;;
EVTOPTAdragon.44;[From.GetSheHeCap] will perish!;[From.GetSheHeCap] va périr !;;;[From.GetSheHeCap] desaparecerá!;;;;;;;;;x;;;;;;;;;;;;;;;;
EVTOPTBdragon.44;It's time to get out of here.;Il est temps de partir !;;;Es hora de salir de aquí!;;;;;;;;;x;;;;;;;;;;;;;;;;
EVTOPTCdragon.44;These walls are strong. Come and get me.;Ces murs sont solides. Viens me chercher.;;;Estos muros son fuertes. Ven a buscarme.;;;;;;;;;x;;;;;;;;;;;;;;;;
EVTDESCdragon.4598;A new phase of fighting begins; and after a long charge the dragons meet in vicious combat; clawing at eachothers flesh and sending red hot dragonflame to try and burn the enemy riders. The armies below watch on in awe as this dance unfolds.;Une nouvelle phase de la bataille commence. Après une longue charge les dragons se rencontrent lors d'un violent combat. Ils tentent de se déchiqueter grâce à leurs puissantes griffes et s'envoient de puissantes vagues de feudragons pour brûler le chevaucheur ennemi. Les armées au sol ne peuvent que regarder la terrible danse qui se déroule au dessus d'eux.;;;Comienza una nueva fase de la batalla. Tras una larga carga los dragones se juntan en un violento combate. Tratan de despedazarse con sus fuertes garras y se se lanzas gigantes olas de fuego para quemar al jinete de dragón enemigo. Los ejércitos a ras de tierra no pueden hacer otra cosa más que mirar como se desarrolla el combate encima de ellos.;;;;;;;;;x;;;;;;;;;;;;;;
EVTOPTAdragon.4598;We shall cast them down;Nous allons les détruire !;;;Los destruiremos!;;;;;;;;;x;;;;;;;;;;;;;;;;
EVTDESCdragon.4699;Your dragon loses out in the ensuing melee; several times almsot falling from the sky. Now the enemy sees your weakness; and prepares to dive in for the kill...;Votre dragon a le dessous dans la mêlé; à plusieurs reprises il a bien failli s'écraser au sol.  Maintenant que l'ennemi voit votre faiblesse; il se prépare à plonger pour donner le coup final.;;;Tu dragón está perdiendo el combate; ha estado a punto varias veces de chocar contra el suelo. Ahora que el enemigo ha visto tu debilidad; se prepara para a dar el golpe final.;;;;;;;;;x;;;;;;;;;;
EVTOPTAdragon.4699;We must fight back;Nous devons contre-attaquer !;;;Debemos contraatacar!;;;;;;;;;x;;;;;;;;;;;;;;;;
EVTTOOLTIPdragon.4698;moves in for the kill;donne le coup final.;;;da el golpe final.;;;;;;;;;x;;;;;;;;;;;;;;;;
EVTDESCdragon.4698;[From.GetTitledFirstName] and [From.GetHerHis] allies struggle to compete with your dragon's relentless attacks; several times almost falling from the sky. Now they are at our mercy; and we can dive in for the kill..;[From.GetTitledFirstName] et ses alliés luttent pour rivaliser avec les attaques implacables de votre dragon. A plusieurs reprises; son dragon a bien failli s'écraser au sol. Ils sont désormais à votre merci et vous pouvez plonger pour administrer le coup final... ;;;[From.GetTitledFirstName] y sus aliados luchan para defenderse de los ataques implacables de tu dragón. En varias ocasiones; su dragón estuvo cerca de chocar contra el suelo. Están ya a tu merced y puedes dar el golpe final...;;;;;;;;;x;;;;;;;;;;;;
EVTOPTAdragon.4698;Dracarys!;Dracarys!;;;Dracarys!;;;;;;;;;x;;;;;;;;;;;;;;;;
EVTDESCdragon.4697;[FromFrom.GetTitledFirstName] and [FromFrom.GetHerHis] allies struggle to compete with your dragon's relentless attacks; several times almost falling from the sky. Now they are at our mercy; and we can dive in for the kill..;[FromFrom.GetTitledFirstName] et ses alliés luttent pour rivaliser avec les attaques implacables de votre dragon. A plusieurs reprises; son dragon a bien failli s'écraser au sol. Ils sont désormais à votre merci et vous pouvez plonger pour administrer le coup final... ;;;[FromFrom.GetTitledFirstName]  y sus aliados luchan para defenderse de los ataques implacables de tu dragón. En varias ocasiones; su dragón estuvo cerca de chocar contra el suelo. Están ya a tu merced y puedes dar el golpe final...;;;;;;;;;x;;;;;;;;;;;;
EVTDESCddragon.4791;[From.GetFirstName] and [From.GetHerHis] rider pick you out and dive straight for you. [From.GetFirstName] collides heavily with [FromFrom.GetFirstName]; and proceeds to rip at [FromFrom.GetHerHis] flesh; driving you both into the ground. You are left dazed; with [FromFrom.GetFirstName]'s lifeless corpse next to you.;[From.GetFirstName] et son chevaucheur choisissent de s'en prendre à vous et plongent droit dans votre direction.  [From.GetFirstName] entre violemment en collision avec [FromFrom.GetFirstName]; et tente de déchirer sa peau. Les deux dragons s'écrasent au sol dans un bruit ahurissant. Vous vous retrouvez là; le corps sans vie de [FromFrom.GetFirstName] à côté de vous.;;;[From.GetFirstName] y su jinete eligen atacarte y vuelan directamente hacia ti. [From.GetFirstName] choca violentamente contra [FromFrom.GetFirstName]; e intenta despedazar su piel. Los dos dragones chocan contra el suelo con un ruido desconcertante. Te encuentras allí; el cuerpo sin vida de [FromFrom.GetFirstName] a tu lado.;;;;;;;;;x;;;;;;;;;
EVTOPTAdragon.4791;All is lost...;Tout est perdu…;;;Todo está perdido...;;;;;;;;;x;;;;;;;;;;;;;;;;
EVTDESCddragon.4792;You pick out [FromFrom.GetFirstName]; and judge [FromFrom.GetSheHe] and it's rider can be finished off. You and [From.GetFirstName] dive headlong into them; sending them crashing into the ground whilst your dragon tears them apart. They are left dazed; with [FromFrom.GetFirstName]'s lifeless corpse sprawled on the ground.;Vous choisissez [FromFrom.GetFirstName] et son chevaucheur que vous jugez mûrs pour le coup final. Vous et [From.GetFirstName] plongez la tête la première sur eux. Ils s'écrasent au sol tandis que votre dragon utilise sa terrible mâchoire pour tenter de les déchiqueter. [FromFrom.Father.GetTitledFirstName] est laissé là; le corps sans vie de [FromFrom.GetFirstName] à côté de(') [FromFrom.Father.GetHerHim].;;;Eliges a [FromFrom.GetFirstName] y su jinete para acabar con ellos. Tu y [From.GetFirstName] chocáis contra ellos. Caen contra el suelo mientras tu dragón utiliza su terrible mandíbula para intentar despedazarlos. [FromFrom.Father.GetTitledFirstName] está allí con el cuerpo sin vida de [FromFrom.GetFirstName] al lado de [FromFrom.Father.GetHerHim].;;;;;;;;;x;;;;;;;;;;;;
EVTOPTAdragon.4792;Fire and Blood!;Feu et sang !;;;Fuego y Sangre!;;;;;;;;;x;;;;;;;;;;;;;;;;
EVTDESCddragon.4793;[FromFrom.GetFirstName] and [FromFrom.GetHerHis] rider are left weakened and vulnerable; and [From.GetFirstName] does not hesitate in finishing them off.  [From.GetFirstName] dives at them; crashing into them at great speed. They are ripped apart and eventually crash into ground and are left dazed; [FromFrom.GetFirstName] is now a lifeless corpse.;[FromFrom.GetFirstName] et son chevaucheur sont affaiblis et vulnérables; et [From.GetFirstName] n'hésite pas à les achever. Avec [From.GetFirstName] ils plongent droit sur eux; rentrant brutalement en collision avec [FromFrom.GetFirstName]. Les deux malheureux s'écrasent au sol tandis que [From.GetFirstName] tente de les déchiqueter. [FromFrom.GetFirstName] n'est plus qu'une carcasse sanguinolente.;;;[FromFrom.GetFirstName] y su jinete son débiles y vulnerables; y [From.GetFirstName] no duda en rematarlos. Con [From.GetFirstName] chocan contra [FromFrom.GetFirstName]. Los dos caen al suelo mientras que [From.GetFirstName] intenta despedazarlos. [FromFrom.GetFirstName] no es más que un cadáver ensangrentado.;;;;;;;;;x;;;;;;;;;;
EVTDESCdragon.5800;A fierce duel broke out between the [From.GetTitledFirstNameWithDynasty] and [FromFrom.GetFName] in the skies over [From.Location.GetName]. Their dragons tore at eachother; but [FromFrom.GetFirstName] and [FromFrom.GetHerHis] rider emerged victorious; and now turns over [From.GetFirstName] to you as a prisoner.;Un féroce duel a eu lieu entre [From.GetTitledFirstNameWithDynasty] et [FromFrom.GetFName] dans le ciel de [From.Location.GetName]. Les dragons se sont violemment affrontés; mais [FromFrom.GetFirstName] et son chevaucheur sont sortis victorieux de cet affrontement et vous ramènent [From.GetFirstName] qui est désormais votre prisonnier(e). ;;;Un feroz combate ha tenido lugar entre [From.GetTitledFirstNameWithDynasty] y [FromFrom.GetFName] en el cielo de [From.Location.GetName]. Los dragones se enfrentaron violentamente; pero [FromFrom.GetFirstName] y su jinete salieron victoriosos del enfrentamiento y te trae a [From.GetFirstName] que ahora es tu prisionero.;;;;;;;;;x;;;;;;;;;;;;
EVTDESCdragon.5801;News from [dragons_rider_FROM.Location.GetName] [Root.PrimaryTitle.GetFOA]. During the war in [dragons_rider_FROM.TopLiege.PrimaryTitle.GetName]; the dragonriders [dragons_rider_FROMFROM.GetTitledFirstName] [dragons_rider_FROMFROM.GetOnlyDynastyName]; rider of [FromFrom.GetFirstName]; and [dragons_rider_FROM.GetTitledFirstName] [dragons_rider_FROM.GetOnlyDynastyName]; rider of [From.GetFirstName]; met in fierce combat; driving their dragons to tear at each other relentlessly. [dragons_rider_FROM.GetTitledFirstName] and [From.GetFirstName] prevailed; killing [FromFrom.GetFirstName].;Des nouvelles de [dragons_rider_FROM.Location.GetName] [Root.PrimaryTitle.GetFOA]; durant la guerre à [dragons_rider_FROM.TopLiege.PrimaryTitle.GetName]; les chevaucheurs de dragons [dragons_rider_FROMFROM.GetTitledFirstName] [dragons_rider_FROMFROM.GetOnlyDynastyName]; chevaucheur de [FromFrom.GetFirstName]; et [dragons_rider_FROM.GetTitledFirstName] [dragons_rider_FROM.GetOnlyDynastyName]; chevaucheur de [From.GetFirstName]; se sont affrontés au cours d'un féroce duel. [dragons_rider_FROM.GetTitledFirstName] et [From.GetFirstName] ont fini par l'emporter; tuant [FromFrom.GetFirstName].;;;Noticias de [Root.PrimaryTitle.GetFOA]; durante la guerra de [From.Father.TopLiege.PrimaryTitle.GetName] los dragones [FromFrom.GetFirstName] y [From.GetFirstName] se han enfrentado en el transcurso de un feroz combate. El jinete de [From.GetFirstName] ha conseguido la victoria; matando a [FromFrom.GetFirstName].;;;;;;;;;x
EVTOPTAdragon.5801;What a dance that must have been;Quelle danse fabuleuse ce devait être. ;;;Debió ser una hermosa danza.;;;;;;;;;x;;;;;;;;;;;;;;;;
EVTOPTBdragon.5801;Please don't bother with me such news;Ne me dérangez plus avec de telles nouvelles s'il vous plaît.;;;No me molestes más con este tipo de historias; por favor.;;;;;;;;;x;;;;;;;;;;;;;;;
EVTDESCddragon.4796;[From.GetFirstName] and [From.GetHerHis] rider dive straight at you; but [FromFrom.GetFirstName] manages to evade their most lethal attacks. You are both left bruised and singed; but can wheel around and join the fray again.;[From.GetFirstName] et son chevaucheur plongent droit sur vous; mais [FromFrom.GetFirstName] parvient à esquiver une partie de l'attaque. Vous êtes tous les deux contusionnés et brûlés; mais vous pouvez toujours rejoindre la bataille. ;;;[From.GetFirstName] y su jinete caen sobre ti; pero [FromFrom.GetFirstName] logra esquivar una parte del ataque. Estáis heridos y quemados; pero podéis continuar la batalla. ;;;;;;;;;x;;;;;;;;;;
EVTOPTAdragon.4796;We are not finished yet...;On n'en a pas encore fini…;;;Esto aún no ha acabado...;;;;;;;;;x;;;;;;;;;;;;;;;;
EVTDESCddragon.4797;You pick out [FromFrom.GetFirstName] and [FromFrom.GetHerHis] rider; and dive straight at them. They manage to dodge [From.GetFirstName]'s most lethal swipes and bursts of fire; and escape your grasp.;Vous choisissez [FromFrom.GetFirstName] et son chevaucheur et plongez droit sur eux. Ils parviennent néanmoins à esquiver les attaques les plus mortelles de [From.GetFirstName] et échappent à votre emprise.;;;Eliges a [FromFrom.GetFirstName] y su jinete y caes sobre ellos. Consiguen esquivar los ataques más mortíferos de [From.GetFirstName] y escapan de tu alcance.;;;;;;;;;x;;;;;;;;;;;;;;
EVTOPTAdragon.4797;We shall kill them on the next pass;Nous les tuerons lors de la prochaine passe. ;;;Acabáremos con ellos en la siguiente pasada.;;;;;;;;;x;;;;;;;;;;;;;;;;
EVTDESCddragon.4798;[FromFrom.GetFirstName] and [FromFrom.GetHerHis] rider are isolated; and [From.GetFirstName] does not hesitate in attacking them. [From.GetSheHeCap] dives at them; but [FromFrom.GetFirstName] evades the attack. They are left bruised and burnt; but can wheel around and join the fray again.;[FromFrom.GetFirstName] et son chevaucheur sont isolés et [From.GetFirstName] n'hésite pas à les attaquer. [From.GetSheHeCap] plonge droit sur eux; mais [FromFrom.GetFirstName] esquive une partie de l'attaque. Ils sont contusionnés et brûlés mais peuvent toujours participer à la bataille.;;;[FromFrom.GetFirstName] y su jinete están aislados y [From.GetFirstName] no espera a atacarlos. Cae sobre ellos; pero [FromFrom.GetFirstName] esquiva una parte del ataque. Están heridos y quemados pero pueden continuar la batalla.;;;;;;;;;x;;;;;;;;;;;
EVTOPTAdragon.4798;They will not die easily it seems;Il semble qu'ils ne vont pas mourir aussi facilement.;;;Parece que no van a morir tan fácilmente.;;;;;;;;;x;;;;;;;;;;;;;;;;
EVTDESCdragon.48;The duel is over; the enemy dragons have finally been cast down. Their armies lose heart at the sight of the spectacle; and you can now turn your attention to them...;Le duel est terminé; les dragons ennemis ont finalement été abattus. Leurs armées ont perdu espoir à la vue d'un tel spectacle et maintenant vous pouvez tourner votre attention vers eux…;;;El duelo ha acabado; los dragones enemigos han sido abatidos. Sus ejércitos han perdido la esperanza al ver tal espectáculo y ahora puedes volver a prestarles atención...;;;;;;;;;x;;;;;;;;;;;;
EVTOPTAdragon.48;Our names shall live as legend!;Nos noms vont entrer dans la légende !;;;Nuestros nombres serán leyenda!;;;;;;;;;x;;;;;;;;;;;;;;;;
EVTDESC3370102;You lost the fight and your dragon is now dead. Your opponent will now decide your fate;Vous avez perdu le combat et votre dragon a trouvé la mort. Votre adversaire va maintenant décider de votre sort. ;;;Has perdido el combate y tu dragón ha muerto. Tu adversario decidirá tu suerte.;;;;;;;;;x;;;;;;;;;;;;;;;;
EVTOPTA3370102;I am at his mercy.;Je suis à sa merci.;;;Estoy a su merced.;;;;;;;;;x;;;;;;;;;;;;;;;;
#EVTDESCdragon.46;Your opponent gains an edge over you in the dogfight and starts his final charge. By miracle you manage to partly dodge the otherwise fatal blow; but the duel is lost.;Votre adversaire parvient à prendre le dessus dans votre combat et se prépare pour une dernière charge. Par miracle; vous parvenez à éviter le coup de grâce mais vous avez perdu le duel. ;;;Tu adversario consigue ventaja en el combate y se prepara para la última carga. Milagrosamente; consigues evitar el golpe de gracia; aunque pierdes el duelo. ;;;;;;;;;x;;;;;;;;;;;;
#EVTOPTAdragon.46;At least my dragon survived. It's time to get out of here.;Au moins; mon dragon a survécu. Il est temps de partir.;;;Al menos; mi dragón ha sobrevivido. Es hora de salir de aquí.;;;;;;;;;x;;;;;;;;;;;;;;
#EVTDESCdragon.47;Your opponent gains an edge over you in the dogfight and starts his final charge. You try to dodge but your opponent is just too fast. A fatal blow strikes down your beast and throws you out of your mount. You are falling from the sky.;Votre adversaire parvient à prendre le dessus dans votre combat et se prépare pour une dernière charge. Vous tentez d'éviter le coup de grâce mais votre ennemi est trop rapide. Le dragon ennemi s'abat de toute sa force sur votre monture avant de lui déchirer la gorge. Désarçonné; votre chute semble sans fin. Vous tombez du ciel !;;;Tu adversario consigue ventaja en el combate y se prepara para la última carga. Intentas evitar el golpe de gracia pero el enemigo es demasiado rápido. El dragón enemigo desciende con toda su fuerza sobre tu montura destrozando su garganta. Desmontado; tu caída parece no tener fin. Caes desde el cielo!;;;;;;;;;x;;;;;;;;;;;;;;
EVTDESCdragon.58;Your final charge slays the enemy beast. After defeating [From.GetTitledFirstNameWithDynastyAndTitleNoRegnal]; [From.GetSheHe] is now at your mercy and beggs for [From.GetHerHis] life. What shall be done with [From.GetHerHim]?;Votre dernière charge a eu raison de la bête adverse. Vous avez défait [From.GetTitledFirstNameWithDynastyAndTitleNoRegnal]; et [From.GetSheHe] est maintenant à votre merci; implorant pour sa vie. Que devons faire de (d') [From.GetHerHim] ?;;;Tu última carga acaba con la bestia rival. Has derrotado a [From.GetTitledFirstNameWithDynastyAndTitleNoRegnal]; y está a tu merced; implorando por su vida. Qué deberíamos hacer con él?;;;;;;;;;x;;;;;;;;;;;
EVTOPTAdragon.58;Feed [From.GetHerHim] to my dragon.;Donnez-le(a) à manger à mon dragon.;;;Dádselo a comer a mi dragón.;;;;;;;;;x;;;;;;;;;;;;;;;;
EVTOPTBdragon.58;Imprison [From.GetHerHim].;Au cachot !;;;Al calabozo!;;;;;;;;;x;;;;;;;;;;;;;;;;
#EVTDESCdragon.49;After a tricky dogfight you manage to get an edge over your opponent and charge for the kill.;Au terme d'une lutte acharnée; votre adversaire vous offre une ouverture et vous chargez pour l'achever.;;;Tras una lucha feroz; tu adversario ofrece una ventaja y cargas para rematarlo.;;;;;;;;;x;;;;;;;;;;;;;;
#EVTDESCdragon.48;After a glorious performance you totally dominate your opponent; becoming a better dragon rider. It's time to charge for the kill.;Après une belle démonstration de combat aérien de votre part; il est clair que vous êtes un bien meilleur chevaucheur de dragon que votre adversaire que vous dominez totalement. Il est temps de charger pour porter le coup fatal.;;;Tras una gran demostración de combate aéreo por tu parte; está claro que eres mucho mejor jinete de dragón que tu adversario al que dominas totalmente. Es el momento de dar el golpe final.;;;;;;;;;x;;;;;;;;;;;;;
EVTDESCdragon.59;Someone else was faster than you and defeated the enemy dragon rider;Quelqu'un a été plus rapide que vous et a défait le chevaucheur de dragon ennemi.;;;Alguien ha sido más rápido que tu y ha derrotado al jinete de dragón enemigo.;;;;;;;;;x;;;;;;;;;;;;;;;;
EVTOPTAdragon.59;Ha!;Ha !;;;Ja!;;;;;;;;;x;;;;;;;;;;;;;;;;
