#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
e_new_valyria;New Valyria;Nouvelle Valyria;;;Nueva Valyria;;;;;;;;;x
c_nor_salis;Nor Salis;Nor Salis;;;Nor Salis;;;;;;;;;x
b_nor_saliscastle;Nor Salis;Nor Salis;;;Nor Salis;;;;;;;;;x
b_nor_salis;Nor Salis;Nor Salis;;;Nor Salis;;;;;;;;;x
b_nor_salistemple;Nor Salis;Nor Salis;;;Nor Salis;;;;;;;;;x
c_rhoyne_vale;Rhoyne Vale;Vallée de la Rhoyne;;;Valle del Rhoyne;;;;;;;;;x
b_rhoyne_valecastle;Rhoyne Vale;Vallée de la Rhoyne;;;Valle del Rhoyne;;;;;;;;;x
b_rhoyne_vale;Rhoyne Vale;Vallée de la Rhoyne;;;Valle del Rhoyne;;;;;;;;;x
b_rhoyne_valetemple;Rhoyne Vale;Vallée de la Rhoyne;;;Valle del Rhoyne;;;;;;;;;x
c_ar_selrys;Ar Selrys;Ar Selrys;;;Ar Selrys;;;;;;;;;x
b_ar_selrys;Ar Selrys;Ar Selrys;;;Ar Selrys;;;;;;;;;x
b_ar_selrystown;Ar Selrys;Ar Selrys;;;Ar Selrys;;;;;;;;;x
b_ar_selrystemple;Ar Selrys;Ar Selrys;;;Ar Selrys;;;;;;;;;x
c_sarnath;Sarnath;Sarnath;;;Sarnath;;;;;;;;;x
b_sarnath;The Palace With a Thousand Rooms;Le Palais aux Mille Salles;;;Palacio de las Mil Estancias;;;;;;;;;x
b_sarnath1;Sarnath;Sarnath;;;Sarnath;;;;;;;;;x
b_sarnath2;Sarnath;Sarnath;;;Sarnath;;;;;;;;;x
b_sarnath3 ;Sarnath;Sarnath;;;Sarnath;;;;;;;;;x
b_sarnath4;Sarnath;Sarnath;;;Sarnath;;;;;;;;;x
b_sarnath5;Sarnath;Sarnath;;;Sarnath;;;;;;;;;x
family_palace_baron_free_cities;Magister;Magistrat;;;Magíster;;;;;;;;;x
family_palace_baron_female_free_cities;Mistress;Maîtresse;;;Señora;;;;;;;;;x
family_palace_baron_foa_free_cities;Your Excellency;Votre Excellence;;;Su Excelencia;;;;;;;;;x
MAGISTER;Magister;Magistrat;;;Magíster;;;;;;;;;x
MAGISTER_FOA;My Magister;Mon Magistrat;;;Mi Magíster;;;;;;;;;x
FREE_CITY_OF;Free City of;Cité Libre de;;;Ciudad Libre de;;;;;;;;;x
SEALORD;Sealord;Seigneur de la Mer;;;Señor del Mar;;;;;;;;;x
SEALORD_FOA;My Lord;Mon Seigneur;;;Mi Señor;;;;;;;;;x
HIGH_MAGISTER;High Magister;Haut Magistrat;;;Gran Magíster;;;;;;;;;x
TRIARCH;Triarch;Triarche;;;Triarca;;;;;;;;;x
TRIARCH_FOA;My Triarch;Mon Triarche;;;Mi Triarca;;;;;;;;;x
ARCHON;Archon;Archonte;;;Arconte;;;;;;;;;x
ARCHON_FOA;My Archon;Mon Archonte;;;Mi Arconte;;;;;;;;;x
HIGH_PRIEST;High Priest;Grand Prêtre;;;Sumo Sacerdote;;;;;;;;;x
job_castellan_braavosi;Chief Scribe;Premier Scribe;;;Primer Escriba;;;;;;;;;x
emperor_job_marshal_braavosi;First Sword;Première Epée;;;Primera Espada;;;;;;;;;x
LP_emperor_job_marshal_braavosi;First Sword;Première Epée;;;Primera Espada;;;;;;;;;x
king_job_marshal_braavosi;First Sword;Première Epée;;;Primera Espada;;;;;;;;;x
LP_king_job_marshal_braavosi;First Sword;Première Epée;;;Primera Espada;;;;;;;;;x
emperor_job_marshal_female_braavosi;First Sword;Première Epée;;;Primera Espada;;;;;;;;;x
LP_emperor_job_marshal_female_braavosi;First Sword;Première Epée;;;Primera Espada;;;;;;;;;x
king_job_marshal_female_braavosi;First Sword;Première Epée;;;Primera Espada;;;;;;;;;x
LP_king_job_marshal_female_braavosi;First Sword;Première Epée;;;Primera Espada;;;;;;;;;x
city_job_castellan_braavosi;Chief Scribe;Premier Scribe;;;Primer Escriba;;;;;;;;;x
city_king_job_marshal_braavosi;First Sword;Première Epée;;;Primera Espada;;;;;;;;;x
city_emperor_job_marshal_braavosi;First Sword;Première Epée;;;Primera Espada;;;;;;;;;x
city_king_job_marshal_female_braavosi;First Sword;Première Epée;;;Primera Espada;;;;;;;;;x
city_emperor_job_marshal_female_braavosi;First Sword;Première Epée;;;Primera Espada;;;;;;;;;x
LP_job_castellan_braavosi;Chief Scribe;Premier Scribe;;;Primer Escriba;;;;;;;;;x
LP_job_marshal_braavosi;First Sword;Première Epée;;;Primera Espada;;;;;;;;;x
emperor_job_marshal_pentosi;Iron Sword of War;Epée de Fer de la Guerre;;;Espada de Hierro de la Guerra;;;;;;;;;x
king_job_marshal_pentosi;Iron Sword of War;Epée de Fer de la Guerre;;;Espada de Hierro de la Guerra;;;;;;;;;x
emperor_job_chancellor_pentosi;Silver Scourge of Justice;Fléau d'Argent de la Justice;;;Azote de Plata de la Justicia;;;;;;;;;x
king_job_chancellor_pentosi;Silver Scourge of Justice;Fléau d'Argent de la Justice;;;Azote de Plata de la Justicia;;;;;;;;;x
emperor_job_treasurer_pentosi;Golden Scales of Trade;Balance d'Or du Commerce;;;Balanza de Oro del Comercio;;;;;;;;;x
king_job_treasurer_pentosi;Golden Scales of Trade;Balance d'Or du Commerce;;;Balanza de Oro del Comercio;;;;;;;;;x
LP_emperor_job_marshal_pentosi;Iron Sword of War;Epée de Fer de la Guerre;;;Espada de Hierro de la Guerra;;;;;;;;;x
LP_king_job_marshal_pentosi;Iron Sword of War;Epée de Fer de la Guerre;;;Espada de Hierro de la Guerra;;;;;;;;;x
LP_emperor_job_chancellor_pentosi;Silver Scourge of Justice;Fléau d'Argent de la Justice;;;Azote de Plata de la Justicia;;;;;;;;;x
LP_king_job_chancellor_pentosi;Silver Scourge of Justice;Fléau d'Argent de la Justice;;;Azote de Plata de la Justicia;;;;;;;;;x
LP_emperor_job_treasurer_pentosi;Golden Scales of Trade;Balance d'Or du Commerce;;;Balanza de Oro del Comercio;;;;;;;;;x
LP_king_job_treasurer_pentosi;Golden Scales of Trade;Balance d'Or du Commerce;;;Balanza de Oro del Comercio;;;;;;;;;x
city_emperor_job_marshal_pentosi;Iron Sword of War;Epée de Fer de la Guerre;;;Espada de Hierro de la Guerra;;;;;;;;;x
city_king_job_marshal_pentosi;Iron Sword of War;Epée de Fer de la Guerre;;;Espada de Hierro de la Guerra;;;;;;;;;x
city_emperor_job_chancellor_pentosi;Silver Scourge of Justice;Fléau d'Argent de la Justice;;;Azote de Plata de la Justicia;;;;;;;;;x
city_king_job_chancellor_pentosi;Silver Scourge of Justice;Fléau d'Argent de la Justice;;;Azote de Plata de la Justicia;;;;;;;;;x
city_emperor_job_treasurer_pentosi;Golden Scales of Trade;Balance d'Or du Commerce;;;Balanza de Oro del Comercio;;;;;;;;;x
city_king_job_treasurer_pentosi;Golden Scales of Trade;Balance d'Or du Commerce;;;Balanza de Oro del Comercio;;;;;;;;;x
emperor_job_marshal_female_pentosi;Iron Sword of War;Epée de Fer de la Guerre;;;Espada de Hierro de la Guerra;;;;;;;;;x
king_job_marshal_female_pentosi;Iron Sword of War;Epée de Fer de la Guerre;;;Espada de Hierro de la Guerra;;;;;;;;;x
emperor_job_chancellor_female_pentosi;Silver Scourge of Justice;Fléau d'Argent de la Justice;;;Azote de Plata de la Justicia;;;;;;;;;x
king_job_chancellor_female_pentosi;Silver Scourge of Justice;Fléau d'Argent de la Justice;;;Azote de Plata de la Justicia;;;;;;;;;x
emperor_job_treasurer_female_pentosi;Golden Scales of Trade;Balance d'Or du Commerce;;;Balanza de Oro del Comercio;;;;;;;;;x
king_job_treasurer_female_pentosi;Golden Scales of Trade;Balance d'Or du Commerce;;;Balanza de Oro del Comercio;;;;;;;;;x
LP_emperor_job_marshal_female_pentosi;Iron Sword of War;Epée de Fer de la Guerre;;;Espada de Hierro de la Guerra;;;;;;;;;x
LP_king_job_marshal_female_pentosi;Iron Sword of War;Epée de Fer de la Guerre;;;Espada de Hierro de la Guerra;;;;;;;;;x
LP_emperor_job_chancellor_female_pentosi;Silver Scourge of Justice;Fléau d'Argent de la Justice;;;Azote de Plata de la Justicia;;;;;;;;;x
LP_king_job_chancellor_female_pentosi;Silver Scourge of Justice;Fléau d'Argent de la Justice;;;Azote de Plata de la Justicia;;;;;;;;;x
LP_emperor_job_treasurer_female_pentosi;Golden Scales of Trade;Balance d'Or du Commerce;;;Balanza de Oro del Comercio;;;;;;;;;x
LP_king_job_treasurer_female_pentosi;Golden Scales of Trade;Balance d'Or du Commerce;;;Balanza de Oro del Comercio;;;;;;;;;x
city_emperor_job_marshal_female_pentosi;Iron Sword of War;Epée de Fer de la Guerre;;;Espada de Hierro de la Guerra;;;;;;;;;x
city_king_job_marshal_female_pentosi;Iron Sword of War;Epée de Fer de la Guerre;;;Espada de Hierro de la Guerra;;;;;;;;;x
city_emperor_job_chancellor_female_pentosi;Silver Scourge of Justice;Fléau d'Argent de la Justice;;;Azote de Plata de la Justicia;;;;;;;;;x
city_king_job_chancellor_female_pentosi;Silver Scourge of Justice;Fléau d'Argent de la Justice;;;Azote de Plata de la Justicia;;;;;;;;;x
city_emperor_job_treasurer_female_pentosi;Golden Scales of Trade;Balance d'Or du Commerce;;;Balanza de Oro del Comercio;;;;;;;;;x
city_king_job_treasurer_female_pentosi;Golden Scales of Trade;Balance d'Or du Commerce;;;Balanza de Oro del Comercio;;;;;;;;;x
LP_job_marshal_pentosi;Iron Sword of War;Epée de Fer de la Guerre;;;Espada de Hierro de la Guerra;;;;;;;;;x
LP_job_chancellor_pentosi;Silver Scourge of Justice;Fléau d'Argent de la Justice;;;Azote de Plata de la Justicia;;;;;;;;;x
LP_job_treasurer_pentosi;Golden Scales of Trade;Balance d'Or du Commerce;;;Balanza de Oro del Comercio;;;;;;;;;x
city_count_female_free_cities;Mistress;Maîtresse;;;Señora;;;;;;;;;x
city_duke_female_free_cities;Mistress;Maîtresse;;;Señora;;;;;;;;;x
city_king_free_cities;Magister;Magistrat;;;Magíster;;;;;;;;;x
city_king_female_free_cities;Mistress;Maîtresse;;;Señora;;;;;;;;;x
temple_kingdom_free_cities;Free City;Cité Libre;;;Ciudad Libre;;;;;;;;;x
temple_kingdom_of_free_cities;Free City of;Cité Libre de;;;Ciudad Libre de;;;;;;;;;x
city_kingdom_free_cities;Free City;Cité Libre;;;Ciudad Libre;;;;;;;;;x
city_kingdom_of_free_cities;Free City of;Cité Libre de;;;Ciudad Libre de;;;;;;;;;x
city_king_braavosi;Sealord;Seigneur de la Mer;;;Señor del Mar;;;;;;;;;x
city_king_female_braavosi;Lady;Lady;;;Señora;;;;;;;;;x
city_king_foa_braavosi;My Lord;Messire;;;Mi Señor;;;;;;;;;x
city_emperor_braavosi;High Sealord;Grand Seigneur de la Mer;;;Gran Señor del Mar;;;;;;;;;x
city_emperor_female_braavosi;Lady;Lady;;;Señora ;;;;;;;;;x
city_emperor_foa_braavosi;My Lord;Messire;;;Mi Señor;;;;;;;;;x
city_king_norvosi;High Magister;Votre Haute Excellence;;;Gran Magíster;;;;;;;;;x
city_king_foa_norvosi;Your High Excellency;Lady;;;Su Gran Excelencia;;;;;;;;;x
city_king_tyroshi;Archon;Archonte;;;Arconte;;;;;;;;;x
city_king_female_tyroshi;Lady;Lady;;;Señora;;;;;;;;;x
city_king_foa_tyroshi;My Archon;Mon Archonte;;;Mi Arconte;;;;;;;;;x
city_emperor_tyroshi;High Archon;Grand Archonte;;;Gran Arconte;;;;;;;;;x
city_emperor_female_tyroshi;Lady;Lady;;;Señora;;;;;;;;;x
city_emperor_foa_tyroshi;My Archon;Mon Archonte;;;Mi Arconte;;;;;;;;;x
family_palace_baron_volantene;Freeholder;Des Possessions;;;Señor Feudal;;;;;;;;;x
family_palace_baron_female_volantene;Lady;Lady;;;Señora;;;;;;;;;x
city_king_lorathi;Archon;Archonte;;;Arconte;;;;;;;;;x
city_king_female_lorathi;Lady;Lady;;;Señora;;;;;;;;;x
city_king_foa_lorathi;My Archon;Mon Archonte;;;Mi Arconte;;;;;;;;;x
city_emperor_lorathi;High Archon;Grand Archonte;;;Gran Arconte;;;;;;;;;x
city_emperor_female_lorathi;Lady;Lady;;;Señora;;;;;;;;;x
city_emperor_foa_lorathi;Your Excellency;Votre Excellence;;;Su Excelencia;;;;;;;;;x
emperor_title_commander_free_cities;Imperial General;Général impérial;;;General Imperial;;;;;;;;;x
LP_emperor_title_commander_free_cities;Imperial General;Général impérial;;;General Imperial;;;;;;;;;x
title_commander_free_cities;General;Général;;;General;;;;;;;;;x
city_title_commander_free_cities;General;Général;;;General;;;;;;;;;x
LP_title_commander_free_cities;General;Général;;;General;;;;;;;;;x
c_seven_stars;Seven Stars;Sept Etoiles;;;Siete Estrellas;;;;;;;;;x
b_seven_stars_1;Seven Stars;Sept Etoiles;;;Siete Estrellas;;;;;;;;;x
b_seven_stars_2;Seven Stars;Sept Etoiles;;;Siete Estrellas;;;;;;;;;x
b_seven_stars_3;Seven Stars;Sept Etoiles;;;Siete Estrellas;;;;;;;;;x
c_hugorvale;Hugorvale;Val d'Hugor;;;Valle de Hugor;;;;;;;;;x
b_hugorvale1;Hugorvale;Val d'Hugor;;;Valle de Hugor;;;;;;;;;x
b_hugorvale2;Hugorvale;Val d'Hugor;;;Valle de Hugor;;;;;;;;;x
b_hugorvale3;Hugorvale;Val d'Hugor;;;Valle de Hugor;;;;;;;;;x
c_east_andalos;East Andalos;Andalos Oriental;;;Andalia Oriental;;;;;;;;;x
b_east_andalos1;East Andalos;Andalos Oriental;;;Andalia Oriental;;;;;;;;;x
b_east_andalos2;East Andalos;Andalos Oriental;;;Andalia Oriental;;;;;;;;;x
b_east_andalos3;East Andalos;Andalos Oriental;;;Andalia Oriental;;;;;;;;;x
c_fathers_hill;Father's Hill;Colline du Père;;;Colina del Padre;;;;;;;;;x
b_fathers_hill1;Father's Hill;Colline du Père;;;Colina del Padre;;;;;;;;;x
b_fathers_hill2;Father's Hill;Colline du Père;;;Colina del Padre;;;;;;;;;x
b_fathers_hill3;Father's Hill;Colline du Père;;;Colina del Padre;;;;;;;;;x
c_andal_coast;Andal Coast;Côte Andale;;;Costa Ándala;;;;;;;;;x
b_andal_coast1;Andal Coast;Côte Andale;;;Costa Ándala;;;;;;;;;x
b_andal_coast2;Andal Coast;Côte Andale;;;Costa Ándala;;;;;;;;;x
b_andal_coast3;Andal Coast;Côte Andale;;;Costa Ándala;;;;;;;;;x
c_mothers_valley;Mother's Valley;Vallée de la Mère;;;Valle de la Madre;;;;;;;;;x
b_mothers_valley1;Mother's Valley;Vallée de la Mère;;;Valle de la Madre;;;;;;;;;x
b_mothers_valley2;Mother's Valley;Vallée de la Mère;;;Valle de la Madre;;;;;;;;;x
b_mothers_valley3;Mother's Valley;Vallée de la Mère;;;Valle de la Madre;;;;;;;;;x
k_andalos;Andalos;Andalos;;;Andalia;;;;;;;;;x
k_andalos_adj;Andal;Andal;;;Ándala;;;;;;;;;x
d_upper_rhoyne;Upper Rhoyne;Haute Rhoyne;;;Alto Rhoyne;;;;;;;;;x
d_north_andalos;North Andalos;Andalos Septentrional;;;Andalia Septentrional;;;;;;;;;x
d_andal_coast;The Andal Coast;La Côte Andale;;;Andalia Occidental;;;;;;;;;x
k_north_valyria;North Valyria;Valyria du Nord;;;Valyria del Norte;;;;;;;;;x
d_mantarys;Mantarys;Mantarys;;;Mantarys;;;;;;;;;x
d_mantarys_adj;Mantaryan;Mantaryen;;;Mantarya;;;;;;;;;x
c_mantarys;Mantarys;Mantarys;;;Mantarys;;;;;;;;;x
b_mantarys;Mantarys;Mantarys;;;Mantarys;;;;;;;;;x
b_mantaryscastle;Mantarys;Mantarys;;;Mantarys;;;;;;;;;x
b_mantarystemple;Mantarys;Mantarys;;;Mantarys;;;;;;;;;x
c_demon_pass;Demon Pass;Passe des Démons;;;Paso de los Demonios;;;;;;;;;x
b_demon_pass;Demon Pass;Passe des Démons;;;Paso de los Demonios;;;;;;;;;x
b_demon_passcastle;Demon Pass;Passe des Démons;;;Paso de los Demonios;;;;;;;;;x
b_demon_passtemple;Demon Pass;Passe des Démons;;;Paso de los Demonios;;;;;;;;;x
c_painted_valleys ;The Painted Valleys;Les Vallées Peintes;;;Valles Pintados;;;;;;;;;x
b_painted_valleys;The Painted Valleys;Les Vallées Peintes;;;Valles Pintados;;;;;;;;;x
b_painted_valleyscastle;The Painted Valleys;Les Vallées Peintes;;;Valles Pintados;;;;;;;;;x
b_painted_valleystemple;The Painted Valleys;Les Vallées Peintes;;;Valles Pintados;;;;;;;;;x
d_tolos;Tolos;Tolos;;;Tolos;;;;;;;;;x
d_tolos_adj;Tolosi;Tolosien;;;Tolosi;;;;;;;;;x
c_tolos;Tolos;Tolos;;;Tolos;;;;;;;;;x
b_tolos;Tolos;Tolos;;;Tolos;;;;;;;;;x
b_toloscastle;Tolos;Tolos;;;Tolos;;;;;;;;;x
b_tolostemple;Tolos;Tolos;;;Tolos;;;;;;;;;x
c_black_cliffs;The Black Cliffs;Les Falaises Noires;;;Acantilados Negros;;;;;;;;;x
b_black_cliffs;The Black Cliffs;Les Falaises Noires;;;Acantilados Negros;;;;;;;;;x
b_black_cliffscastle;The Black Cliffs;Les Falaises Noires;;;Acantilados Negros;;;;;;;;;x
b_black_cliffstemple;The Black Cliffs;Les Falaises Noires;;;Acantilados Negros;;;;;;;;;x
d_elyria;Elyria;Elyria;;;Elyria;;;;;;;;;x
d_elyria_adj;Elyrian;Elyrien;;;Elyria;;;;;;;;;x
c_elyria;Elyria;Elyria;;;Elyria;;;;;;;;;x
b_elyria;Elyria;Elyria;;;Elyria;;;;;;;;;x
b_elyriacastle;Elyria;Elyria;;;Elyria;;;;;;;;;x
b_elyriatemple;Elyria;Elyria;;;Elyria;;;;;;;;;x
d_dalos;Draconys;Draconys;;;Draconys;;;;;;;;;x
d_dalos_adj;Draconysene;Draconys;;;Draconya;;;;;;;;;x
c_dalos;Draconys;Draconys;;;Draconys;;;;;;;;;x
b_dalos;Draconys;Draconys;;;Draconys;;;;;;;;;x
b_daloscastle;Draconys;Draconys;;;Draconys;;;;;;;;;x
b_dalostemple;Draconys;Draconys;;;Draconys;;;;;;;;;x
c_telyria;Telyria;Telyria;;;Telyria;;;;;;;;;x
c_telyria_adj;Telyrian;Telyria;;;Telyria;;;;;;;;;x
b_telyria;Telyria;Telyria;;;Telyria;;;;;;;;;x
b_telyriacastle;Telyria;Telyria;;;Telyria;;;;;;;;;x
b_telyriatemple;Telyria;Telyria;;;Telyria;;;;;;;;;x
c_anogaria;Anogaria;Anogaria;;;Anogaria;;;;;;;;;x
b_anogaria;Anogaria;Anogaria;;;Anogaria;;;;;;;;;x
b_anogariatemple;Anogaria;Anogaria;;;Anogaria;;;;;;;;;x
b_anogariacastle;Anogaria;Anogaria;;;Anogaria;;;;;;;;;x
d_bhorash;Bhorash;Bhorash;;;Bhorash;;;;;;;;;x
d_bhorash_adj;Bhorashi;Bhorashi;;;Bhorashi;;;;;;;;;x
c_bhorash;Bhorash;Bhorash;;;Bhorash;;;;;;;;;x
b_bhorash;Bhorash;Bhorash;;;Bhorash;;;;;;;;;x
b_bhorashcastle;Bhorash;Bhorash;;;Bhorash;;;;;;;;;x
b_bhorashtemple;Bhorash;Bhorash;;;Bhorash;;;;;;;;;x
c_demon_road;The Demon Road;La Route des Démons;;;Ruta de los Demonios;;;;;;;;;x
b_demon_road;The Demon Road;La Route des Démons;;;Ruta de los Demonios;;;;;;;;;x
b_demon_roadcastle;The Demon Road;La Route des Démons;;;Ruta de los Demonios;;;;;;;;;x
b_demon_roadtemple;The Demon Road;La Route des Démons;;;Ruta de los Demonios;;;;;;;;;x
city_kingdom_valyrian;Free City;Cité Libre;;;Ciudad Libre;;;;;;;;;x
city_kingdom_of_valyrian;Free City of;Cité Libre de;;;Ciudad Libre de;;;;;;;;;x
city_king_valyrian;Archon;Archonte;;;Arconte;;;;;;;;;x
city_king_female_valyrian;Lady;Lady;;;Señora;;;;;;;;;x
city_king_foa_valyrian;My Lord;Messire;;;Mi Señor ;;;;;;;;;x
city_empire_valyrian;Freehold;Possession;;;Feudo Franco;;;;;;;;;x
city_empire_of_valyrian;Freehold of;Possession de;;;Feudo Franco de ;;;;;;;;;x
city_emperor_valyrian;Archon;Archonte;;;Arconte;;;;;;;;;x
city_emperor_female_valyrian;Lady;Lady;;;Señora;;;;;;;;;x
city_emperor_foa_valyrian;My Lord;Messire;;;Mi Señor ;;;;;;;;;x
family_palace_baron_eastern_valyrian;Freeholder;Des Possessions;;;Señor Feudal;;;;;;;;;x
family_palace_baron_female_eastern_valyrian;Lady;Lady;;;Señora;;;;;;;;;x
family_palace_baron_foa_eastern_valyrian;My Lord;Messire;;;Mi Señor;;;;;;;;;x
family_palace_baron_western_valyrian;Lord Freeholder;Seigneur des Possessions;;;Gran Señor Feudal;;;;;;;;;x
family_palace_baron_female_western_valyrian;Lady;Lady;;;Señora;;;;;;;;;x
family_palace_baron_foa_western_valyrian;My Lord;Messire;;;Mi Señor;;;;;;;;;x
family_palace_baron_high_valyrian;Lord Freeholder;Seigneur des Possessions;;;Gran Señor Feudal;;;;;;;;;x
family_palace_baron_female_high_valyrian;Lady;Lady;;;Señora ;;;;;;;;;x
family_palace_baron_foa_high_valyrian;My Lord;Messire;;;Mi Señor;;;;;;;;;x
emperor_job_castellan_valyrian;Archon;Archonte;;;Arconte;;;;;;;;;x
emperor_job_treasurer_high_valyrian;Lord Treasurer;Lord Trésorier;Master of Coin;;Señor Tesorero;;;;;;;;;x
emperor_job_treasurer_western_valyrian;Master of Coin;Grand Argentier;Master of Coin;;Consejero de la Moneda ;;;;;;;;;x
emperor_job_treasurer_eastern_valyrian;Lord Treasurer;Lord Trésorier;Master of Coin;;Señor Tesorero;;;;;;;;;x
emperor_job_spymaster_high_valyrian;Master of Whisperers;Maître des Chuchoteurs;Master of Whisperers;;Consejero de los Rumores ;;;;;;;;;x
emperor_job_spymaster_western_valyrian;Master of Whisperers;Maître des Chuchoteurs;Master of Whisperers;;Consejero de los Rumores ;;;;;;;;;x
emperor_job_spymaster_eastern_valyrian;Master of Whisperers;Maître des Chuchoteurs;Master of Whisperers;;Consejero de los Rumores ;;;;;;;;;x
emperor_job_marshal_high_valyrian;Chief General;Général en chef;Master-at-Arms;;General en Jefe;;;;;;;;;x
LP_emperor_job_castellan_valyrian;Archon;Archonte;;;Arconte;;;;;;;;;x
LP_emperor_job_treasurer_high_valyrian;Lord Treasurer;Lord Trésorier;Master of Coin;;Señor Tesorero;;;;;;;;;x
LP_emperor_job_treasurer_western_valyrian;Master of Coin;Grand Argentier;Master of Coin;;Consejero de la Moneda ;;;;;;;;;x
LP_emperor_job_treasurer_eastern_valyrian;Lord Treasurer;Lord Trésorier;Master of Coin;;Señor Tesorero;;;;;;;;;x
LP_emperor_job_spymaster_high_valyrian;Master of Whisperers;Maître des Chuchoteurs;Master of Whisperers;;Jefe de los Rumores ;;;;;;;;;x
LP_emperor_job_spymaster_western_valyrian;Master of Whisperers;Maître des Chuchoteurs;Master of Whisperers;;Jefe de los Rumores ;;;;;;;;;x
LP_emperor_job_spymaster_eastern_valyrian;Master of Whisperers;Maître des Chuchoteurs;Master of Whisperers;;Jefe de los Rumores ;;;;;;;;;x
LP_emperor_job_marshal_high_valyrian;Chief General;Général en chef;Master-at-Arms;;General en Jefe;;;;;;;;;x
city_emperor_job_castellan_valyrian;Seneschal;Sénéchal;;;Senescal;;;;;;;;;x
city_emperor_job_treasurer_high_valyrian;Lord Treasurer;Lord Trésorier;Master of Coin;;Señor Tesorero;;;;;;;;;x
city_emperor_job_treasurer_western_valyrian;Lord Treasurer;Lord Trésorier;Master of Coin;;Señor Tesorero;;;;;;;;;x
city_emperor_job_treasurer_eastern_valyrian;Lord Treasurer;Lord Trésorier;Master of Coin;;Señor Tesorero;;;;;;;;;x
city_emperor_job_marshal_valyrian;Chief General;Général en chef;Master-at-Arms;;General en Jefe;;;;;;;;;x
king_job_treasurer_high_valyrian;Master of Coin;Grand Argentier;Master of Coin;;Consejero de la Moneda ;;;;;;;;;x
king_job_treasurer_western_valyrian;Master of Coin;Grand Argentier;Master of Coin;;Consejero de la Moneda ;;;;;;;;;x
king_job_chancellor_high_valyrian;Master of Laws;Maître des Lois;Master of Laws ;;Consejero de Edictos;;;;;;;;;x
king_job_chancellor_western_valyrian;Master of Laws;Maître des Lois;Master of Laws ;;Consejero de Edictos;;;;;;;;;x
king_job_spymaster_high_valyrian;Master of Whisperers;Maître des Chuchoteurs;Master of Whisperers;;Consejero de los Rumores ;;;;;;;;;x
king_job_spymaster_western_valyrian;Master of Whisperers;Maître des Chuchoteurs;Master of Whisperers;;Consejero de los Rumores ;;;;;;;;;x
king_job_castellan_high_valyrian;Hand of the King;Main du Roi;Hand of the King;Hand of the King;Mano del Rey;;;;;;;;;x
king_job_castellan_western_valyrian;Hand of the King;Main du Roi;Hand of the King;Hand of the King;Mano del Rey;;;;;;;;;x
king_job_castellan_eastern_valyrian;Archon;Archonte;;;Arconte;;;;;;;;;x
LP_job_castellan_eastern_valyrian;Archon;Archonte;;;Arconte;;;;;;;;;x
city_king_job_treasurer_high_valyrian;Master of Coin;Grand Argentier;Master of Coin;;Consejero de la Moneda ;;;;;;;;;x
city_king_job_treasurer_western_valyrian;Master of Coin;Grand Argentier;Master of Coin;;Consejero de la Moneda ;;;;;;;;;x
city_king_job_chancellor_high_valyrian;Master of Laws;Maître des Lois;Master of Laws ;;Consejero de Edictos;;;;;;;;;x
city_king_job_chancellor_western_valyrian;Master of Laws;Maître des Lois;Master of Laws ;;Consejero de Edictos;;;;;;;;;x
city_king_job_spymaster_high_valyrian;Master of Whisperers;Maître des Chuchoteurs;Master of Whisperers;;Consejero de los Rumores ;;;;;;;;;x
city_king_job_spymaster_western_valyrian;Master of Whisperers;Maître des Chuchoteurs;Master of Whisperers;;Consejero de los Rumores ;;;;;;;;;x
city_king_job_castellan_valyrian;Archon;Archonte;;;Arconte;;;;;;;;;x
city_king_job_marshal_valyrian;Chief General;Général en chef;Master-at-Arms;;General en Jefe;;;;;;;;;x
emperor_job_castellan_female_valyrian;Archon;Archonte;;;Arconte;;;;;;;;;x
emperor_job_treasurer_female_high_valyrian;Lord Treasurer;Grand Argentier;Master of Coin;;Señor Tesorero;;;;;;;;;x
emperor_job_treasurer_female_western_valyrian;Master of Coin;Grand Argentier;Master of Coin;;Consejero de la Moneda ;;;;;;;;;x
emperor_job_treasurer_female_eastern_valyrian;Lord Treasurer;Grand Argentier;Master of Coin;;Señor Tesorero;;;;;;;;;x
emperor_job_spymaster_female_high_valyrian;Master of Whisperers;Maître des Chuchoteurs;Master of Whisperers;;Consejero de los Rumores ;;;;;;;;;x
emperor_job_spymaster_female_western_valyrian;Master of Whisperers;Maître des Chuchoteurs;Master of Whisperers;;Consejero de los Rumores ;;;;;;;;;x
emperor_job_spymaster_female_eastern_valyrian;Master of Whisperers;Maître des Chuchoteurs;Master of Whisperers;;Consejero de los Rumores ;;;;;;;;;x
emperor_job_marshal_female_high_valyrian;Chief General;Général en chef;Master-at-Arms;;General en Jefe;;;;;;;;;x
LP_emperor_job_castellan_female_valyrian;Archon;Archonte;;;Arconte;;;;;;;;;x
LP_emperor_job_treasurer_female_high_valyrian;Lord Treasurer;Grand Argentier;Master of Coin;;Señor Tesorero;;;;;;;;;x
LP_emperor_job_treasurer_female_western_valyrian;Master of Coin;Grand Argentier;Master of Coin;;Consejero de la Moneda ;;;;;;;;;x
LP_emperor_job_treasurer_female_eastern_valyrian;Lord Treasurer;Grand Argentier;Master of Coin;;Señor Tesorero;;;;;;;;;x
